site_number,state,runway_id,runway_length,runway_width,runway_surface_type_condition,runway_surface_treatment,pavement_class,edge_lights_intensity,base_end_id,base_end_true_alignment,base_end_ils_type,base_end_right_traffic_pattern,base_end_markings_type,base_end_markings_condition,base_end_physical_latitude,base_end_physical_latitude_s,base_end_physical_longitude,base_end_physical_longitude_s,base_end_physical_elevation,base_end_crossing_height,base_end_glide_path_angle,base_end_displaced_latitude,base_end_displaced_latitude_s,base_end_displaced_longitude,base_end_displaced_longitude_s,base_end_displaced_elevation,base_end_displaced_length,base_end_tdz_elevation,base_end_vasi,base_end_rvr,base_end_rvv,base_end_als,base_end_reil,base_end_centerline_lights,base_end_touchdown_lights,base_end_object_description,base_end_object_mark_light,base_end_part77_category,base_end_object_clear_slope,base_end_object_height,base_end_object_distance,base_end_object_offset,reciprocal_end_id,reciprocal_end_true_alignment,reciprocal_end_ils_type,reciprocal_end_right_traffic_pattern,reciprocal_end_markings_type,reciprocal_end_markings_condition,reciprocal_end_physical_latitude,reciprocal_end_physical_latitude_s,reciprocal_end_physical_longitude,reciprocal_end_physical_longitude_s,reciprocal_end_physical_elevation,reciprocal_end_crossing_height,reciprocal_end_glide_path_angle,reciprocal_end_displaced_latitude,reciprocal_end_displaced_latitude_s,reciprocal_end_displaced_longitude,reciprocal_end_displaced_longitude_s,reciprocal_end_displaced_elevation,reciprocal_end_displaced_length,reciprocal_end_tdz_elevation,reciprocal_end_vasi,reciprocal_end_rvr,reciprocal_end_rvv,reciprocal_end_als,reciprocal_end_reil,reciprocal_end_centerline_lights,reciprocal_end_touchdown_lights,reciprocal_end_object_description,reciprocal_end_object_mark_light,reciprocal_end_part77_category,reciprocal_end_object_clear_slope,reciprocal_end_object_height,reciprocal_end_object_distance,reciprocal_end_object_offset,runway_length_source,runway_length_source_date,runway_weight_bearing_capacity_sw,runway_weight_bearing_capacity_dw,runway_weight_bearing_capacity_dt,runway_weight_bearing_capacity_ddt,base_end_gradient,base_end_gradient_direction,base_end_position_source,base_end_position_source_date,base_end_elevation_source,base_end_elevation_source_date,base_end_displaced_threshold_position_source,base_end_displaced_threshold_position_source_date,base_end_displaced_threshold_elevation_source,base_end_displaced_threshold_elevation_source_date,base_end_touchdown_zone_elevation_source,base_end_touchdown_zone_elevation_source_date,base_end_take_off_run_available_tora,base_end_take_off_distance_available_toda,base_end_aclt_stop_distance_available_asda,base_end_landing_distance_available_lda,base_end_landing_distance_available_lahso,base_end_landing_distance_available_lahso_int_rwy_id,base_end_landing_distance_available_lahso_int_entity_desc,base_end_landing_distance_available_lahso_hld_pt_latitude,base_end_landing_distance_available_lahso_hld_pt_latitude_s,base_end_landing_distance_available_lahso_hld_pt_longitude,base_end_landing_distance_available_lahso_hld_pt_longitude_s,base_end_landing_distance_available_lahso_coord_src,base_end_landing_distance_available_lahso_coord_src_date,reciprocal_end_gradient,reciprocal_end_gradient_direction,reciprocal_end_position_source,reciprocal_end_position_source_date,reciprocal_end_elevation_source,reciprocal_end_elevation_source_date,reciprocal_end_displaced_threshold_position_source,reciprocal_end_displaced_threshold_position_source_date,reciprocal_end_displaced_threshold_elevation_source,reciprocal_end_displaced_threshold_elevation_source_date,reciprocal_end_touchdown_zone_elevation_source,reciprocal_end_touchdown_zone_elevation_source_date,reciprocal_end_take_off_run_available_tora,reciprocal_end_take_off_distance_available_toda,reciprocal_end_aclt_stop_distance_available_asda,reciprocal_end_landing_distance_available_lda,reciprocal_end_landing_distance_available_lahso,reciprocal_end_landing_distance_available_lahso_int_rwy_id,reciprocal_end_landing_distance_available_lahso_int_entity_desc,reciprocal_end_landing_distance_available_lahso_hld_pt_latitude,reciprocal_end_landing_distance_available_lahso_hld_pt_latitude_s,reciprocal_end_landing_distance_available_lahso_hld_pt_longitude,reciprocal_end_landing_distance_available_lahso_hld_pt_longitude_s,reciprocal_end_landing_distance_available_lahso_coord_src,reciprocal_end_landing_distance_available_lahso_coord_src_date
06721.*A,KS,01/19,3901,75,CONC-G,,,MED,01,19,,N,NPI,F,39-00-19.0108N,140419.0108N,095-13-11.8792W,342791.8792W,832.5,40,3.5,,,,,,,833.3,P2L,,,,Y,,,TREE,,A(V),28,56,1777,307R,19,199,,N,NPI,F,39-00-55.4275N,140455.4275N,095-12-55.6484W,342775.6484W,831,40,3.5,,,,,,,833.3,P2L,,,,Y,,,TREE,,A(V),35,70,2683,70L,3RD PARTY SURVEY,2010-08-28 00:00:00,12.5,15.6,,,,,3RD PARTY SURVEY,2010-08-28 00:00:00,3RD PARTY SURVEY,2010-08-28 00:00:00,,,,,3RD PARTY SURVEY,2010-08-28 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2010-08-28 00:00:00,3RD PARTY SURVEY,2010-08-28 00:00:00,,,,,3RD PARTY SURVEY,2010-08-28 00:00:00,,,,,,,,,,,,,
06721.*A,KS,15/33,5700,100,ASPH-F,,,MED,15,153,,,PIR,F,39-01-07.1701N,140467.1701N,095-13-12.3232W,342792.3232W,831.1,45,3,,,,,,,831.4,P4L,,,,Y,,,POLE,,C,40,42,1884,282R,33,333,ILS,,PIR,F,39-00-16.7667N,140416.7667N,095-12-40.0710W,342760.0710W,827.2,52,3,,,,,,,830.8,P4R,,,MALSR,,,,TREES,,PIR,34,62,2333,232L,3RD PARTY SURVEY,2010-08-28 00:00:00,40,60,,,,,3RD PARTY SURVEY,2010-08-28 00:00:00,3RD PARTY SURVEY,2010-08-28 00:00:00,,,,,3RD PARTY SURVEY,2010-08-28 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2010-08-28 00:00:00,3RD PARTY SURVEY,2010-08-28 00:00:00,,,,,3RD PARTY SURVEY,2010-08-28 00:00:00,,,,,,,,,,,,,
06728.61*A,KS,08/26,2163,40,ASPH-G,,,LOW,08,,,N,BSC,G,38-27-25.2311N,138445.2311N,101-21-24.8599W,364884.8599W,3303.7,,,,,,,,,3303.7,,,,,,,,POLE,,A(V),3,40,345,100R,26,,,N,BSC,G,38-27-25.4753N,138445.4753N,101-20-57.6763W,364857.6763W,3297.8,,,,,,,,,3303.7,,,,,,,,,,A(V),50,,,,3RD PARTY SURVEY,2018-09-06 00:00:00,,,,,,,3RD PARTY SURVEY,2018-09-06 00:00:00,3RD PARTY SURVEY,2018-09-06 00:00:00,,,,,3RD PARTY SURVEY,2018-09-06 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2018-09-06 00:00:00,3RD PARTY SURVEY,2018-09-06 00:00:00,,,,,3RD PARTY SURVEY,2018-09-06 00:00:00,,,,,,,,,,,,,
06728.61*A,KS,17/35,4352,50,ASPH-G,,,HIGH,17,,,N,BSC,G,38-27-51.9287N,138471.9287N,101-20-57.4987W,364857.4987W,3300.7,,,,,,,,,3300.7,,,,,,,,ROAD,,A(V),0,10,200,50L,35,,,N,BSC,G,38-27-08.9187N,138428.9187N,101-20-57.0350W,364857.0350W,3296.9,,,,,,,,,3299.9,,,,,,,,ROAD,,A(V),0,17,200,50R,3RD PARTY SURVEY,2018-09-06 00:00:00,,,,,,,3RD PARTY SURVEY,2018-09-06 00:00:00,3RD PARTY SURVEY,2018-09-06 00:00:00,,,,,3RD PARTY SURVEY,2018-09-06 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2018-09-06 00:00:00,3RD PARTY SURVEY,2018-09-06 00:00:00,,,,,3RD PARTY SURVEY,2018-09-06 00:00:00,,,,,,,,,,,,,
06729.*A,KS,04/22,5000,75,CONC-E,,10 /R/D/Y/U,MED,04,45,,N,NPI,G,37-02-19.2478N,133339.2478N,100-58-15.8336W,363495.8336W,2885.6,40,3,,,,,,,2885.6,P4L,,,,Y,,,,,C,20,,,,22,225,,N,NPI,G,37-02-54.2566N,133374.2566N,100-57-32.2944W,363452.2944W,2878.7,40,3,,,,,,,2879.8,P4L,,,,Y,,,,,C,50,,,,3RD PARTY SURVEY,2014-01-22 00:00:00,30,60,,,,,3RD PARTY SURVEY,2014-01-22 00:00:00,3RD PARTY SURVEY,2014-01-22 00:00:00,,,,,3RD PARTY SURVEY,2014-01-22 00:00:00,5000,5000,5000,5000,,,,,,,,,,,,3RD PARTY SURVEY,2014-01-22 00:00:00,3RD PARTY SURVEY,2014-01-22 00:00:00,,,,,3RD PARTY SURVEY,2014-01-22 00:00:00,5000,5000,5000,5000,,,,,,,,,
06729.*A,KS,17/35,7105,100,CONC-E,GRVD,33 /R/D/X/U,HIGH,17,180,,N,NPI,G,37-03-14.1924N,133394.1924N,100-57-23.1705W,363443.1705W,2878,54,3,,,,,,,2878.1,V4L,,,,Y,,,,,D,50,,,,35,360,ILS,N,PIR,G,37-02-03.9584N,133323.9584N,100-57-23.0145W,363443.0145W,2874.8,57,3,,,,,,,2875.3,V4L,,,MALSR,,,,,,PIR,50,,,,3RD PARTY SURVEY,2014-01-22 00:00:00,80,100,,,,,3RD PARTY SURVEY,2014-01-22 00:00:00,3RD PARTY SURVEY,2014-01-22 00:00:00,,,,,3RD PARTY SURVEY,2014-01-22 00:00:00,7101,7101,7101,7101,,,,,,,,,,,,3RD PARTY SURVEY,2014-01-22 00:00:00,3RD PARTY SURVEY,2014-01-22 00:00:00,,,,,3RD PARTY SURVEY,2014-01-22 00:00:00,7101,7101,7101,7101,,,,,,,,,
06733.*A,KS,02/20,2700,130,TURF-G,,,LOW,02,,,,,,,,,,,,,,,,,,,,,,,,,,,ROAD,,A(V),3,21,75,0B,20,,,,,,,,,,,,,,,,,,,,,,,,,,,ROAD,,A(V),2,18,45,0B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06733.*A,KS,15/33,2700,370,TURF-G,,,LOW,15,,,N,,,,,,,,,,,,,,,,,,,,,,,,ROAD,,A(V),2,18,39,0B,33,,,N,,,,,,,,,,,,,,,,,,,,,,,,ROAD,,A(V),3,22,75,0B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06737.51*A,KS,17/35,2904,50,ASPH-G,,,MED,17,,,N,NRS,G,,,,,,,,,,,,,,,,,,,,,,TREES,,A(V),15,50,957,478L,35,,,N,NRS,G,,,,,,,,,,,,,,,,,,,,,,ROAD,,A(V),19,16,510,148L,STATE,2007-08-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06737.9*A,KS,16/34,2170,60,ASPH-F,,,,16,176,,N,NSTD,F,38-41-40.9444N,139300.9444N,095-41-25.5602W,344485.5602W,1052,,,,,,,,,,,,,,,,,TREE,,A(V),45,28,1451,181L,34,356,,N,NSTD,F,38-41-19.5374N,139279.5374N,095-41-23.7299W,344483.7299W,1027,,,,,,,,,,,,,,,,,TREE,,A(V),0,29,200,85R,,,,,,,,,FAA-EST IMAGERY,2010-11-29 00:00:00,FAA-EST IMAGERY,2010-11-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2010-11-29 00:00:00,FAA-EST IMAGERY,2010-11-29 00:00:00,,,,,,,,,,,,,,,,,,,
06739.*A,KS,17/35,4401,75,CONC-E,,12 /R/C/W/T,MED,17,180,,Y,NPI,G,38-20-46.6515N,138046.6515N,098-13-43.0645W,353623.0645W,1691.8,40,3,,,,,,,1691.8,P2L,,,,Y,,,ROAD,,C,21,17,565,0B,35,360,,N,NPI,G,38-20-03.1568N,138003.1568N,098-13-42.5864W,353622.5864W,1672.4,40,3,,,,,,,1689.2,P2L,,,,Y,,,TREES,,C,36,30,1300,195L,3RD PARTY SURVEY,2012-01-10 00:00:00,30,,,,,,3RD PARTY SURVEY,2012-01-10 00:00:00,3RD PARTY SURVEY,2012-01-10 00:00:00,,,,,3RD PARTY SURVEY,2012-01-10 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2012-01-10 00:00:00,3RD PARTY SURVEY,2012-01-10 00:00:00,,,,,3RD PARTY SURVEY,2012-01-10 00:00:00,,,,,,,,,,,,,
06743.*A,KS,08/26,2511,75,TURF-G,,,,08,90,,N,,,38-21-17.8140N,138077.8140N,097-41-55.5160W,351715.5160W,1494,,,,,,,,,,,,N,,N,N,N,PLINE,,A(V),33,90,3000,0B,26,270,,Y,,,38-21-18.0070N,138078.0070N,097-41-23.9960W,351683.9960W,1493,,,,,,,,,,,,N,,N,N,N,PLINE,M,A(V),24,54,1340,0B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06743.*A,KS,18/36,5502,100,CONC-G,,,MED,18,186,,Y,NPI,G,38-21-31.6320N,138091.6320N,097-41-20.2906W,351680.2906W,1493.6,40,3,,,,,,,1497.1,P2L,,N,,Y,N,N,,,C,50,,,,36,6,,N,NPI,G,38-20-37.5066N,138037.5066N,097-41-27.0245W,351687.0245W,1494.6,40,3,,,,,,,1497,P2L,,N,,Y,N,N,,,D,50,,,,NGS,2006-11-13 00:00:00,30,,,,,,NGS,2006-11-13 00:00:00,NGS,2006-11-13 00:00:00,,,,,NGS,2006-11-13 00:00:00,,,,,,,,,,,,,,,,NGS,2006-11-13 00:00:00,NGS,2006-11-13 00:00:00,,,,,AVN,2012-08-23 00:00:00,,,,,,,,,,,,,
06748.*A,KS,03/21,7000,150,CONC-G,GRVD,44 /R/C/W/T,HIGH,03,40,ILS,Y,PIR,G,39-07-53.5800N,140873.5800N,096-40-48.7400W,348048.7400W,1055.9,50,3,,,,,,,1055.9,P4L,,,MALSR,,,,TREES,,PIR,36,105,3996,537L,21,220,,N,NPI,G,39-08-46.6500N,140926.6500N,096-39-51.7400W,347991.7400W,1043.3,47,3,,,,,,,1048.1,P4L,,,,Y,,,TREES,,D,23,86,2124,259R,3RD PARTY SURVEY,2010-07-13 00:00:00,75,110,,,,,3RD PARTY SURVEY,2010-07-13 00:00:00,3RD PARTY SURVEY,2010-07-13 00:00:00,,,,,3RD PARTY SURVEY,2010-07-13 00:00:00,7000,7000,7000,7000,,,,,,,,,,,,3RD PARTY SURVEY,2010-07-13 00:00:00,3RD PARTY SURVEY,2010-07-13 00:00:00,,,,,3RD PARTY SURVEY,2010-07-13 00:00:00,7000,7000,7000,7000,,,,,,,,,
06748.*A,KS,13/31,5000,75,CONC-E,,9 /R/C/Y/U,MED,13,142,,N,NPI,G,39-08-59.6300N,140939.6300N,096-40-35.4300W,348035.4300W,1066,41,3.5,,,,,,,1066,V2L,,,,,,,POLE,,B(V),29,237,7174,392L,31,322,,Y,NPI,G,39-08-20.5800N,140900.5800N,096-39-56.5500W,347996.5500W,1044.6,42,3,,,,,,,1051,V4L,,,,Y,,,TREE,,B(V),15,93,1607,624L,3RD PARTY SURVEY,2010-07-13 00:00:00,30,39,,,,,3RD PARTY SURVEY,2004-07-29 00:00:00,3RD PARTY SURVEY,2010-07-13 00:00:00,,,,,3RD PARTY SURVEY,2010-07-13 00:00:00,5000,5000,5000,5000,,,,,,,,,,,,3RD PARTY SURVEY,2004-07-29 00:00:00,3RD PARTY SURVEY,2010-07-13 00:00:00,,,,,3RD PARTY SURVEY,2010-07-13 00:00:00,5000,5000,5000,5000,,,,,,,,,
06752.*A,KS,09/27,2505,100,TURF-G,,,,09,,,N,NSTD,,,,,,,,,,,,,,,,,,,,,,,TREES,,A(V),0,19,0,100R,27,,,N,NSTD,,,,,,,,,,,,,,,,,,,,,,,ROAD,,A(V),8,15,120,0B,STATE,2003-09-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06752.*A,KS,17/35,3540,50,ASPH-G,,,LOW,17,,,N,NPI,G,,,,,,,,,,,,,,,,,,,,,,FENCE,M,A(V),0,4,200,0B,35,,,N,NPI,G,,,,,,,,,,,,,,,,,,,,,,,,A(V),50,,,,FAA,2002-05-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06755.*A,KS,03/21,2745,95,TURF-G,,,,03,,,N,,,,,,,,,,,,,,,,,,,,,,,,FENCE,,A(V),0,4,0,0B,21,,,N,,,,,,,,,,,,,,,,,,,,,,,,PLINE,,A(V),33,22,735,170L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06755.*A,KS,13/31,2722,50,TURF-G,,,,13,,,N,,,,,,,,,,,,,,,,,,,,,,,,FENCE,,A(V),0,4,15,0B,31,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,A(V),50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06755.*A,KS,17/35,2573,40,ASPH-G,,,LOW,17,180,,N,NRS,G,38-20-27.3327N,138027.3327N,096-59-13.6390W,349153.6390W,1382,,,,,,,,,,,,,,,,,,,A(V),50,,,,35,0,,N,NRS,G,38-20-01.8917N,138001.8917N,096-59-13.6390W,349153.6390W,1378,,,,,,,,,,,,,,,,,,,A(V),50,,,,,,,,,,,,FAA-EST IMAGERY,2010-12-27 00:00:00,FAA-EST IMAGERY,2010-12-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2010-12-27 00:00:00,FAA-EST IMAGERY,2010-12-27 00:00:00,,,,,,,,,,,,,,,,,,,
06755.*A,KS,18/36,2310,67,TURF-G,,,,18,184,,,,,38-20-27.5670N,138027.5670N,096-59-21.1355W,349161.1355W,1380,,,,,,,,,,,,,,,,,FENCE,,A(V),2,4,9,30L/R,36,4,,,,,38-20-04.7789N,138004.7789N,096-59-23.1002W,349163.1002W,1378,,,,,,,,,,,,,,,,,,,A(V),50,,,,STATE,2002-10-21 00:00:00,,,,,,,FAA-EST IMAGERY,2010-12-27 00:00:00,FAA-EST IMAGERY,2010-12-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2010-12-27 00:00:00,FAA-EST IMAGERY,2010-12-27 00:00:00,,,,,,,,,,,,,,,,,,,
06757.*A,KS,16/34,4200,60,ASPH-G,AFSC,,MED,16,161,,N,NPI,F,39-51-42.7200N,143502.7200N,096-37-59.5200W,347879.5200W,1277.9,40,3,,,,,,,1282.5,P2L,,,,Y,,,,,C,34,,,,34,341,,N,NPI,F,39-51-03.5700N,143463.5700N,096-37-41.6100W,347861.6100W,1277.1,40,3,,,,,,,1282.5,P2L,,,,Y,,,TREES,,C,20,26,720,247L,OWNER,2001-06-19 00:00:00,,,,,,,3RD PARTY SURVEY,2007-09-06 00:00:00,3RD PARTY SURVEY,2007-09-06 00:00:00,,,,,AVN,2011-04-14 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2007-09-06 00:00:00,3RD PARTY SURVEY,2007-09-06 00:00:00,,,,,AVN,2011-04-14 00:00:00,,,,,,,,,,,,,
06757.*A,KS,H1,50,50,CONC-G,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06760.1*A,KS,08/26,2085,85,TURF-G,,,,08,90,,N,NONE,G,37-16-54.6568N,134214.6568N,100-21-41.9611W,361301.9611W,2527,,,,,,,,,2527,,,,,,,,ROAD,,A(V),16,17,284,0B,26,270,,N,NONE,G,37-16-54.7661N,134214.7661N,100-21-16.1646W,361276.1646W,2510.7,,,,,,,,,2527,,,,,,,,POLE,,A(V),38,7,272,0B,3RD PARTY SURVEY,2016-03-14 00:00:00,,,,,,,3RD PARTY SURVEY,2016-03-14 00:00:00,3RD PARTY SURVEY,2016-03-14 00:00:00,,,,,FAA,2010-08-11 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2016-03-14 00:00:00,3RD PARTY SURVEY,2016-03-14 00:00:00,,,,,FAA,2010-08-11 00:00:00,,,,,,,,,,,,,
06760.1*A,KS,17/35,4800,75,CONC-F,,11 /R/C/X/U,MED,17,176,,,NPI,F,37-17-01.9244N,134221.9244N,100-21-22.5963W,361282.5963W,2518.1,,,,,,,,,2518.1,P2L,,,,,,,ROAD,,A(NP),37,10,575,0B,35,356,,,NPI,F,37-16-14.5660N,134174.5660N,100-21-18.8263W,361278.8263W,2503.5,,,,,,,,,2513.7,P2L,,,,,,,ROAD,,A(NP),30,10,500,0B,3RD PARTY SURVEY,2010-08-11 00:00:00,,,,,,,3RD PARTY SURVEY,2010-08-11 00:00:00,3RD PARTY SURVEY,2010-08-11 00:00:00,,,,,3RD PARTY SURVEY,2010-08-11 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2010-08-11 00:00:00,3RD PARTY SURVEY,2010-08-11 00:00:00,,,,,3RD PARTY SURVEY,2010-08-11 00:00:00,,,,,,,,,,,,,
06766.*A,KS,13/31,1690,80,TURF-G,,,,13,145,,,,,37-15-57.2800N,134157.2800N,098-32-57.8800W,354777.8800W,1522,,,,,,,,,,,,,,,,,TREES,,A(V),8,25,200,0B,31,325,,,,,37-15-43.5700N,134143.5700N,098-32-45.9300W,354765.9300W,1511,,,,,,,,,,,,,,,,,FENCE,,A(V),0,6,0,0B,,,,,,,,,OWNER,2014-04-01 00:00:00,OWNER,2014-04-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,OWNER,2014-04-01 00:00:00,OWNER,2014-04-01 00:00:00,,,,,,,,,,,,,,,,,,,
06766.*A,KS,16/34,3200,42,ASPH-G,,,LOW,16,174,,N,BSC,G,37-16-13.8800N,134173.8800N,098-32-54.8600W,354774.8600W,1549,,,,,,,,,,,,,,,,,HILL,,A(V),0,15,201,0B,34,354,,N,BSC,G,37-15-42.4200N,134142.4200N,098-32-50.6500W,354770.6500W,1508,,,,,,,,,,,,,,,,,,,A(V),50,,,,,,,,,,,,OWNER,2014-04-01 00:00:00,OWNER,2014-04-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,OWNER,2014-04-01 00:00:00,OWNER,2014-04-01 00:00:00,,,,,,,,,,,,,,,,,,,
06775.5*A,KS,16/34,3970,20,ASPH-G,,,,16,165,,,NRS,G,39-05-58.5316N,140758.5316N,097-43-22.1610W,351802.1610W,1246,,,,,,,,,,,,,,,,,TREES,,A(V),15,59,1118,0B,34,345,,,NRS,G,39-05-20.5604N,140720.5604N,097-43-09.4136W,351789.4136W,1242,,,,,,,,,,,,,,,,,TREES,,A(V),17,65,1150,250L,,,,,,,,,FAA-EST IMAGERY,2010-12-27 00:00:00,FAA-EST IMAGERY,2010-12-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2010-12-27 00:00:00,FAA-EST IMAGERY,2010-12-27 00:00:00,,,,,,,,,,,,,,,,,,,
06777.*A,KS,18/36,2510,40,ASPH-G,,,,18,183,,N,NSTD,G,37-23-03.7353N,134583.7353N,096-16-15.1151W,346575.1151W,1063,,,,,,,,,,,,,,,,,TREE,,A(V),33,41,1560,26R,36,3,,N,NSTD,G,37-22-38.9494N,134558.9494N,096-16-16.7955W,346576.7955W,1053,,,,,,,,,,,,,,,,,POLE,,A(V),1,32,260,75R,,,,,,,,,FAA-EST IMAGERY,2010-10-08 00:00:00,FAA-EST IMAGERY,2010-10-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2010-10-08 00:00:00,FAA-EST IMAGERY,2010-10-08 00:00:00,,,,,,,,,,,,,,,,,,,
06780.02*A,KS,17/35,4000,60,ASPH-E,,,MED,17,,,,,,37-35-28.1700N,135328.1700N,100-28-12.3800W,361692.3800W,,,,37-35-21.2496N,135321.2496N,100-28-12.4080W,361692.4080W,,700,,,,,,,,,PLINE,M,A(V),0,35,0,0B,35,,,,,,37-34-48.6100N,135288.6100N,100-28-12.5400W,361692.5400W,,,,,,,,,,,,,,,,,,PLINE,M,A(V),34,36,1250,0B,OWNER,2010-04-02 00:00:00,,,,,,,FAA-EST IMAGERY,2007-04-25 00:00:00,,,FAA-EST,2010-04-05 00:00:00,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2007-04-25 00:00:00,,,,,,,,,,,,,,,,,,,,,
06785.11*A,KS,17/35,3405,50,ASPH-G,,,LOW,17,180,,N,NPI,F,38-12-49.5600N,137569.5600N,097-30-09.7800W,351009.7800W,1489,,,,,,,,,1489,,,,,,,,ROAD,,A(NP),31,15,670,290L,35,0,,N,NPI,F,38-12-15.9000N,137535.9000N,097-30-09.8400W,351009.8400W,1487.8,,,,,,,,,1489,,,,,,,,ROAD,,A(NP),20,16,525,0B,FAA,2003-12-15 00:00:00,,,,,,,,2003-12-15 00:00:00,,2003-12-15 00:00:00,,,,,NGS,2003-03-19 00:00:00,,,,,,,,,,,,,,,,,2003-12-15 00:00:00,,2003-12-15 00:00:00,,,,,NGS,2003-03-19 00:00:00,,,,,,,,,,,,,
06791.*A,KS,02/20,2998,46,ASPH-G,,,LOW,02,29,,N,BSC,G,37-25-51.9460N,134751.9460N,095-38-58.9740W,344338.9740W,822,,,,,,,,,841,,,,,Y,,,TREES,,A(NP),7,13,300,95L,20,209,,N,BSC,G,37-26-17.9450N,134777.9450N,095-38-41.1250W,344321.1250W,841,,,,,,,,,841,,,,,Y,,,TREE,,A(V),23,58,1585,110R,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06791.*A,KS,15/33,2100,45,TURF-G,,,,15,156,,,,,37-26-20.2110N,134780.2110N,095-38-45.4290W,344325.4290W,840,,,,,,,,,,,,,,,,,,,A(V),50,,,,33,336,,,,,37-26-01.2120N,134761.2120N,095-38-34.9280W,344314.9280W,825,,,,,,,,,,,,,,,,,TREE,,A(V),5,26,140,45R,FAA,2012-01-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06792.4*A,KS,17/35,4000,60,ASPH-F,,,LOW,17,180,,N,NPI,F,38-28-45.2922N,138525.2922N,099-54-32.8685W,359672.8685W,2321.6,40,3,,,,,,,2321.6,P2L,,,,Y,,,PLINE,M,A(V),31,41,1500,0B,35,360,,N,NPI,F,38-28-05.7572N,138485.7572N,099-54-32.7868W,359672.7868W,2287.6,40,3,,,,,,,2314.6,P2L,,,,Y,,,BLDG,L,A(V),0,28,200,50L,3RD PARTY SURVEY,2018-11-13 00:00:00,,,,,,,3RD PARTY SURVEY,2018-11-13 00:00:00,3RD PARTY SURVEY,2018-11-13 00:00:00,,,,,3RD PARTY SURVEY,2018-11-13 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2018-11-13 00:00:00,3RD PARTY SURVEY,2018-11-13 00:00:00,,,,,3RD PARTY SURVEY,2018-11-13 00:00:00,,,,,,,,,,,,,
06794.*A,KS,08/26,3501,60,ASPH-G,,,MED,08,90,,,BSC,G,38-03-38.7500N,137018.7500N,097-16-44.3600W,350204.3600W,1532.1,29,3,,,,,,,1532.6,P4L,,,,Y,,,,,A(V),50,,,,26,270,,,BSC,G,38-03-38.2500N,137018.2500N,097-16-00.6000W,350160.6000W,1532.9,29,3,,,,,,,1532.9,P4L,,,,Y,,,,,A(V),50,,,,3RD PARTY SURVEY,2005-02-22 00:00:00,13,,,,,,3RD PARTY SURVEY,2005-02-22 00:00:00,3RD PARTY SURVEY,2005-02-22 00:00:00,,,,,AVN,2011-04-11 00:00:00,3501,3501,3501,3501,,,,,,,,,,,,3RD PARTY SURVEY,2005-02-22 00:00:00,3RD PARTY SURVEY,2005-02-22 00:00:00,,,,,AVN,2011-04-11 00:00:00,3501,3501,3501,3501,,,,,,,,,
